2023-08-01,Senior Software Tester,Tester / QA,Jolie Siam,20 - 35 triệu,20000000.0,35000000.0,VND
2023-08-01,Python Dev,Developer / Engineer,Công Ty Cổ Phần VCCorp,13 - 22 triệu,13000000.0,22000000.0,VND
2023-08-01,Nhân Viên IT,IT Operations / DevOps / Support,Công ty TNHH Nhất Nước,10 - 12 triệu,10000000.0,12000000.0,VND
2023-08-01,Security Engineer (Incident Response),Developer / Engineer,CÔNG TY TNHH AMARIS VIỆT NAM,thoả thuận,,,
2023-08-01,Security Engineer (Pentesting),Developer / Engineer,CÔNG TY TNHH AMARIS VIỆT NAM,thoả thuận,,,
2023-08-01,Python Developer (Có Nhận Fresher),Developer / Engineer,CÔNG TY CỔ PHẦN TCOM,tới 25 triệu,,25000000.0,VND
2023-08-01,Business Analyst (Up To 1800$),Business / Analyst / Product,Công ty TNHH Thu phí tự động VETC,"tới 1,800 usd",,1800.0,USD
2023-08-01,Full Stack Developer (Nodejs/Reactjs) - Senior,Developer / Engineer,Công ty TNHH Lisod Việt Nam,"tới 2,500 usd",,2500.0,USD
2023-08-01,Full Stack Developer (Senior),Developer / Engineer,Công ty TNHH Lisod Việt Nam,"tới 1,500 usd",,1500.0,USD
2023-08-01,Nhân Viên Kỹ Thuật Mạng,IT Operations / DevOps / Support,Công ty Cổ Phần Mũ Xanh,9 - 15 triệu,9000000.0,15000000.0,VND
2023-08-01,Thực Tập Sinh Kỹ Thuật Mạng,IT Operations / DevOps / Support,Công ty Cổ Phần Mũ Xanh,thoả thuận,,,
2023-08-01,IT Helpdesk Hỗ Trợ Kỹ Thuật Tại Hồ Chí Minh,IT Operations / DevOps / Support,CHI NHÁNH CÔNG TY TNHH THỂ THAO SPORT 1,8 - 10 triệu,8000000.0,10000000.0,VND
2023-08-01,Chuyên Viên Vận Hành Cloud (Ngành Công Nghệ Thông Tin - Thu Nhập Up To 60M),Developer / Engineer,Công ty cổ phần thương mại điện tử INET,30 - 60 triệu,30000000.0,60000000.0,VND
2023-08-01,Senior Front-End Developer,Developer / Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ FLYER,tới 35 triệu,,35000000.0,VND
2023-08-01,React Native Developer Spoken English (Upto 40M),Developer / Engineer,Công ty Cổ Phần Rikkeisoft,tới 40 triệu,,40000000.0,VND
2023-08-01,Python Developer Spoken English (Upto 40M),Developer / Engineer,Công ty Cổ Phần Rikkeisoft,tới 40 triệu,,40000000.0,VND
2023-08-01,.Net Senior Developer,Developer / Engineer,CÔNG TY TNHH GITS,trên 20 triệu,20000000.0,,VND
